"id","label","parent","obsolete"
"verb","Verb","basic","0"
"noun","Noun","basic","0"
"pronoun","Pronoun","basic","0"
"adjective","Adjective","basic","0"
"adverb","Adverb","basic","0"
"preposition","Preposition","basic","0"
"conjunction","Conjunction","basic","0"
"interjection","Interjection","basic","0"
"particle","Particle","basic","0"
"connective","Connective","basic",0
"negation","Negation","basic",0
"number","Number","basic",0
"plural_marker","Plural Marker","basic",0
"transitive_verb","Transitive Verb","advanced",0
"intransitive_verb","Intransitive Verb","advanced",0
"pronoun_personal","Pronoun - Personal","advanced","0"
"pronoun_reflexive","Pronoun - Reflexive","advanced","0"
"pronoun_reciprocal","Pronoun - Reciprocal","advanced","0"
"pronoun_demonstrative","Pronoun - Demonstrative","advanced","0"
"pronoun_relative","Pronoun - Relative","advanced","0"
"particle_postposition","Particle - Postposition","advanced","0"
"particle_quantifier","Particle - Quantifier","advanced","0"
"particle_article_determiner","Particle - Article/Determiner","advanced","0"
"particle_tense_aspect","Particle - Tense/Aspect","advanced","0"
"particle_modal","Particle - Modal","advanced","0"
"particle_conjunction","Particle - Conjunction","advanced","0"
"particle_auxiliary_verb","Particle - Auxiliary Verb","advanced","0"
"particle_adjective","Particle - Adjective","advanced","0"
"particle_adverb","Particle - Adverb","advanced","0"
"entity_noun_like_word","Entity (Noun-like word)","advanced","0"
"event_activity_verb_like_word","Event/Activity (Verb-like word)","advanced","0"
"event_activity_verb_like_word_transitive","Event/Activity (Verb-like word) - transitive","advanced","0"
"event_activity_verb_like_word_intransitive","Event/Activity (Verb-like word) - intransitive","advanced","0"
"event_activity_verb_like_word_reflexive","Event/Activity (Verb-like word) - reflexive","advanced","0"
"event_activity_verb_like_word_reciprocal","Event/Activity (Verb-like word) - reciprocal","advanced","0"
"suffix_prefix","Suffix / Prefix","advanced","0"
"question_word","Question word","advanced","0"
"affirmation","Affirmation","advanced",0
"connective_irrealis","Connective Irrealis","advanced",0
"demonstrative","Demonstrative","advanced",0
"interrogative","Interrogative","advanced",0
"modifier_noun","Modifier Noun","advanced",0
"modifier_verb","Modifier Verb","advanced",0
"question_marker","Question Marker","advanced",0
"tense_aspect","Tense Aspect","advanced",0
